time,corridor,hs6,desc,value_usd
2023-01,CN->BR,390120,,90096.0
2023-01,CN->BR,390130,,409799
2023-01,CN->BR,390190,,1198648.0
2023-01,CN->BR,390210,,557601.0
2023-01,CN->BR,390230,,134869
2023-01,CN->BR,390290,,25580
2023-01,CN->BR,390311,,1464067
2023-01,CN->BR,390319,,240263
2023-01,CN->BR,390320,,70519
2023-01,CN->BR,390330,,433263.0
2023-01,CN->BR,390390,,16598
2023-01,CN->BR,390410,,49604.0
2023-01,CN->BR,390422,,71285
2023-01,CN->BR,390440,,8190
2023-01,CN->BR,390450,,800000
2023-01,CN->BR,390461,,1272238.0
2023-01,CN->BR,390469,,1057201.0
2023-01,CN->BR,390490,,417396
2023-01,CN->BR,390519,,463903
2023-01,CN->BR,390521,,8700
2023-01,CN->BR,390529,,1216257
2023-01,CN->BR,390530,,1767017
2023-01,CN->BR,390591,,163906
2023-01,CN->BR,390599,,917428.0
2023-01,CN->BR,390610,,137390
2023-01,CN->BR,390690,,3999032.0
2023-01,CN->BR,390710,,771071.0
2023-01,CN->BR,390721,,9650
2023-01,CN->BR,390729,,14671690.0
2023-01,CN->BR,390730,,1870255.0
2023-01,CN->BR,390740,,1655203.0
2023-01,CN->BR,390761,,1106732
2023-01,CN->BR,390770,,9400
2023-01,CN->BR,390799,,2718799.0
2023-01,CN->BR,390810,,3769003.0
2023-01,CN->BR,390890,,2293601.0
2023-01,CN->BR,390910,,170548
2023-01,CN->BR,390920,,3446
2023-01,CN->BR,390931,,11217547
2023-01,CN->BR,390940,,1031014.0
2023-01,CN->BR,390950,,3291041.0
2023-01,CN->BR,391000,,3494487.0
2023-01,CN->BR,391110,,1549491.0
2023-01,CN->BR,391190,,1691144.0
2023-01,CN->BR,391231,,456735.0
2023-01,CN->BR,391239,,3456879.0
2023-01,CN->BR,391290,,192980.0
2023-01,CN->BR,391310,,1473700
2023-01,CN->BR,391390,,4960812.0
2023-01,CN->BR,391400,,772106.0
2023-01,CN->BR,391590,,5128
2023-01,CN->BR,391610,,127385
2023-01,CN->BR,391620,,374660
2023-01,CN->BR,391690,,498609.0
2023-01,CN->BR,391710,,2115674.0
2023-01,CN->BR,391721,,358768
2023-01,CN->BR,391722,,16510
2023-01,CN->BR,391723,,64981
2023-01,CN->BR,391729,,125459
2023-01,CN->BR,391731,,113504
2023-01,CN->BR,391732,,881986.0
2023-01,CN->BR,391733,,158997
2023-01,CN->BR,391739,,1037325
2023-01,CN->BR,391740,,884655.0
2023-01,CN->BR,391810,,3756917
2023-01,CN->BR,391890,,245158
2023-01,CN->BR,391910,,2572884.0
2023-01,CN->BR,391990,,7918102.0
2023-01,CN->BR,392010,,1952171.0
2023-01,CN->BR,392020,,2203793.0
2023-01,CN->BR,392030,,96170
2023-01,CN->BR,392043,,1399267.0
2023-01,CN->BR,392049,,2221863
2023-01,CN->BR,392051,,1782922
2023-01,CN->BR,392059,,7490
2023-01,CN->BR,392061,,531653
2023-01,CN->BR,392062,,1951721.0
2023-01,CN->BR,392063,,48
2023-01,CN->BR,392069,,220351
2023-01,CN->BR,392071,,104594
2023-01,CN->BR,392073,,68480.0
2023-01,CN->BR,392091,,1299100
2023-01,CN->BR,392092,,286614
2023-01,CN->BR,392099,,655511.0
2023-01,CN->BR,392111,,170975
2023-01,CN->BR,392112,,250867
2023-01,CN->BR,392113,,4317849.0
2023-01,CN->BR,392114,,3793
2023-01,CN->BR,392119,,957345
2023-01,CN->BR,392190,,3829687.0
2023-01,CN->BR,392210,,249606
2023-01,CN->BR,392220,,467944
2023-01,CN->BR,392290,,382358
2023-01,CN->BR,392310,,340633
2023-01,CN->BR,392321,,557661.0
2023-01,CN->BR,392329,,910181.0
2023-01,CN->BR,392330,,1433944.0
