corridor,hs6,desc,recent_avg_usd,baseline_avg_usd,growth_pct,z_score,recent_months,score
BR->US,040299,"MILK AND CREAM, SWEETENED, CONCEN OR NOT NESOI",208102,81246,156.1,1.58,"2026-04,2026-05,2026-06",8.419698220887454
BR->US,741110,TUBES & PIPES OF REFINED COPPER,7561864,4343535,74.1,1.22,"2026-04,2026-05,2026-06",8.418771680558384
BR->US,681599,OTH ARTICLES OF STONE OR OTH MIN SUBSTNCES NESOI,649393,342470,89.6,1.4,"2026-04,2026-05,2026-06",8.166474006939833
BR->US,480620,GREASEPROOF PAPER (AS MANUFACTURED) IN ROLLS/SHEET,162566,52744,208.2,1.56,"2026-04,2026-05,2026-06",8.143140375946563
BR->US,200899,"FRUIT & EDIBLE PLANT PARTS NESOI, PREP ETC. NESOI",5231580,3464330,51.0,1.19,"2026-04,2026-05,2026-06",8.025303817280475
BR->US,830210,"HINGES, AND PARTS THEREOF, OF BASE METAL",119085,72019,65.4,1.57,"2026-04,2026-05,2026-06",7.983415598842829
BR->US,170191,"CANE/BEET SUGAR, REFINED, SOLID, ADDED FLAV/COLOR",156855,70250,123.3,1.54,"2026-04,2026-05,2026-06",7.982387993869864
BR->US,761510,ALUMINUM TABLE KITCHEN HH ART & PARTS SCOURERS ETC,3752716,2257971,66.2,1.2,"2026-04,2026-05,2026-06",7.892035512684681
BR->US,121293,SUGAR CANE,120968,27061,347.0,1.55,"2026-04,2026-05,2026-06",7.8807821966349865
BR->US,871492,WHEEL RIMS AND SPOKES FOR BICYCLES ETC.,160017,71546,123.7,1.51,"2026-04,2026-05,2026-06",7.8404744578838335
BR->US,392350,"STOPPERS, LIDS, CAPS & OTHER CLOSURES, OF PLASTIC",562589,339537,65.7,1.35,"2026-04,2026-05,2026-06",7.777776598691884
BR->US,871130,"MOTORCYCLES (INCLUDING MOPEDS),CYCL,EXC250CC,NT500",1550865,567771,173.1,1.25,"2026-04,2026-05,2026-06",7.726323708143227
BR->US,890399,"YACHTS, PLEAS/SPORT VESSELS, ROW BOATS, CANOES NES",1820673,1116022,63.1,1.23,"2026-04,2026-05,2026-06",7.721846259905777
BR->US,731210,"STRANDED WIRE, ROPE ETC, NO ELECT INSUL, IR OR ST",169554,91439,85.4,1.47,"2026-04,2026-05,2026-06",7.703246014922801
BR->US,480256,"PAPER,UNCOAT,NT OV 10% WT MEC PRC;40-150G/M2,SHETS",8726048,4748988,83.7,1.09,"2026-04,2026-05,2026-06",7.59375432486612
BR->US,284910,"CARBIDES OF CALCIUM, CHEMICALLY DEFINED OR NOT",254109,133343,90.6,1.39,"2026-04,2026-05,2026-06",7.500855888554181
BR->US,830230,OTH BS METL MOUNTNGS FTTNGS ETC FOR MOTOR VEHICLES,152918,101425,50.8,1.45,"2026-04,2026-05,2026-06",7.496430087652858
BR->US,820110,"SPADES AND SHOVELS AND PARTS, OF BASE METAL",1121640,691266,62.3,1.19,"2026-04,2026-05,2026-06",7.198463658459267
BR->US,290110,"ACYCLIC HYDROCARBONS, SATURATED",382648,152693,150.6,1.28,"2026-04,2026-05,2026-06",7.132343360198877
BR->US,220720,ETHYL ALCOHOL & OTH SPIRITS DENATURED ANY STRENGTH,187935,75142,150.1,1.34,"2026-04,2026-05,2026-06",7.040935434963733
BR->US,680690,MXTRS A ARTCLS OF HEAT OR SOUND ABS O INS NESOI,240594,97768,146.1,1.31,"2026-04,2026-05,2026-06",7.039178062667942
BR->US,400921,"PIPE, REINFORCED/COMBINE W/METAL ONLY, W/O FITTING",104434,23421,345.9,1.38,"2026-04,2026-05,2026-06",6.90180854166401
BR->US,020230,"MEAT OF BOVINE ANIMALS, BONELESS, FROZEN",168529617,107716819,56.5,0.83,"2026-04,2026-05,2026-06",6.832500612817102
BR->US,711420,"GOLD/SILVER -SMITHS' ARTCLS A PRTS, BS MTL CL W PM",105170,58350,80.2,1.35,"2026-04,2026-05,2026-06",6.786771733791446
BR->US,380891,"INSECTICIDES, EXC THOSE SPECIFIED IN SUBHEAD. NT 1",340136,165388,105.7,1.22,"2026-04,2026-05,2026-06",6.7541383218575435
BR->US,400259,"ACRYLONITRILE-BUTADIENE RUBBER, EXC LATEX, NESOI",466696,308359,51.3,1.19,"2026-04,2026-05,2026-06",6.750441952260199
BR->US,382319,"INDUST MONOCARBOXYLIC FATTY ACIDS, NESOI ACID OILS",142661,43088,231.1,1.28,"2026-04,2026-05,2026-06",6.593723363070814
BR->US,480254,"PAPER NESOI, NOV 10% FIBER BY MECH PR, UN40G/M2 UC",226916,89366,153.9,1.21,"2026-04,2026-05,2026-06",6.489433992693435
BR->US,290529,UNSATURATED MONOHYDRIC ALCOHOLS NESOI,369152,163941,125.2,1.16,"2026-04,2026-05,2026-06",6.445008477009265
BR->US,820190,"HANDTOOLS NESOI FOR AGRI, HORT ETC, BASE MTL PTS",640723,398416,60.8,1.11,"2026-04,2026-05,2026-06",6.427914016275692
BR->US,230500,"PEANUT OILCAKE & OTH SOLID RESIDUE, WH/NOT GROUND",534484,247565,115.9,1.11,"2026-04,2026-05,2026-06",6.382215696677448
BR->US,290545,GLYCEROL,157511,61440,156.4,1.22,"2026-04,2026-05,2026-06",6.360967245497375
BR->US,853224,"CERAMIC DIELECTRIC, MULTILAYER FIXED CAPACITORS",392255,205605,90.8,1.14,"2026-04,2026-05,2026-06",6.354155830402149
BR->US,821599,"SPNS FRKS LDLS ETC,BS MTL PTS,NT PRC MTL PLT,NT ST",164122,86444,89.9,1.2,"2026-04,2026-05,2026-06",6.2462286198506085
BR->US,440719,"OTHER CONIF WOOD, SAWN/CHIPED LENTGW, THKNS GT 6MM",3324072,2048812,62.2,0.93,"2026-04,2026-05,2026-06",6.066407935284779
BR->US,845020,WASHING MACHINES WITH DRY LINEN CAPACITY OV 10 KG,210977,104932,101.1,1.14,"2026-04,2026-05,2026-06",6.059405147746686
BR->US,842810,PASS OR FREIGHT ELEVATOR EXC CONT ACT; SKIP HOISTS,146539,57597,154.4,1.16,"2026-04,2026-05,2026-06",6.010147419400684
BR->US,441239,"PLYWOOD, EXC BAMBOO, LT=6 MM THK, CONIFEROUS NESOI",22437450,14810722,51.5,0.82,"2026-04,2026-05,2026-06",6.004015570298707
BR->US,854370,"ELEC MACH AND APP, HAVING INDIV FUNCTIONS, NESOI",1065535,621395,71.5,0.97,"2026-04,2026-05,2026-06",5.8230686507456335
BR->US,080122,"BRAZIL NUTS, FRESH OR DRIED, SHELLED",997265,465690,114.1,0.95,"2026-04,2026-05,2026-06",5.715087414335459
BR->US,722850,OTH BRS A RODS OTH ALY STL NT FUR TH CLD-FRMD/FNSH,1016487,671961,51.3,0.94,"2026-04,2026-05,2026-06",5.66957133309417
BR->US,320290,INORGANIC TANNING SUBSTANCES & TANNING PREP ETC,124013,58047,113.6,1.1,"2026-04,2026-05,2026-06",5.596969866166632
